path,bytes,runtime_filename_reference_candidate,visual_review
assets/characters/seoyun/sprites/CHAR_Seoyun_Phone_Neutral_Bust_v01.png,1107569,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/characters/seoyun/sprites/CHAR_Seoyun_Phone_Tense_Bust_v01.png,1340414,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/characters/seoyun/sprites/CHAR_Seoyun_Phone_Tense_Bust_v02.png,1316781,True,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/characters/taejun/master/CHAR_Taejun_FaceMaster_v01.png,637236,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/characters/taejun/master/CHAR_Taejun_FullbodyMaster_v01.png,549014,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/characters/taejun/master/CHAR_Taejun_FullbodyMaster_v02.png,1128735,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/characters/taejun/refs/CHAR_Taejun_BodyRef_v01.png.png,486665,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/characters/taejun/sprites/CHAR_Taejun_Cold_Bust_v02.png,1141904,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/characters/taejun/sprites/CHAR_Taejun_Cold_Full_v01.png,754747,True,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/characters/taejun/sprites/CHAR_Taejun_Confrontational_Full_v01.png,558964,True,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/characters/taejun/sprites/CHAR_Taejun_Watchful_Bust_v02.png,887366,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/characters/taejun/sprites/CHAR_Taejun_Watchful_Full_v01.png,762709,True,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/characters/yujin/master/CHAR_Yujin_FullbodyMaster_v01.png,825070,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/characters/yujin/master/CHAR_Yujin_FullbodyMaster_v02.png,1297553,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/characters/yujin/sprites/CHAR_Yujin_Alarmed_Full_v01.png,523769,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/characters/yujin/sprites/CHAR_Yujin_Alarmed_Full_v02.png,442575,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/characters/yujin/sprites/CHAR_Yujin_Alarmed_Full_v03.png,517239,True,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/characters/yujin/sprites/CHAR_Yujin_Guarded_Full_v01.png,1265734,True,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/generated/concepts/BG_B1_TwoBedRoom_Concept_v01.png,1867206,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/generated/imagegen/BG_1F_Lobby_Blackout_imageedit_v01.png,1500124,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/generated/imagegen/BG_1F_StaffDoor_Blackout_imageedit_v01.png,1323453,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/generated/imagegen/BG_3F_OldEvacuationMap_text-cleaned_v01.png,1906115,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/generated/imagegen/BG_B1_TwoBedRoom_Concept_clock-cleaned_v01.png,1867206,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/generated/imagegen/CG_FirstDeath_Midnight_watch-locked_v01.png,1077320,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/generated/imagegen/CHAR_Sea_Confused_Full_matte_v01.png,1251399,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/generated/imagegen/CHAR_Sea_Fullbody_v02.png,1557828,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/generated/imagegen/CHAR_Sea_Wary_Transparent_v01.png,1323175,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/generated/imagegen/CHAR_Seoyun_Phone_Tense_Bust_mole-locked_v01.png,1529736,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/generated/imagegen/CHAR_Seoyun_Phone_Tense_Bust_v01.png,1408432,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/generated/imagegen/CHAR_Taejun_Cold_Transparent_v01.png,754747,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/generated/imagegen/CHAR_Taejun_FullbodyMaster_v02.png,1128735,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
assets/generated/imagegen/CHAR_Taejun_Watchful_Transparent_v02.png,762709,False,CONTACT_SHEET_VIEWED_NOT_ALL_PIXELS_OR_GUI
